hi	مرحبًا
did i miss anything	هل هناك شيء لم أفهمه؟
did i miss anything	هل هناك ما لم أضع في الإعتبار؟
did they understand	هل فهموا؟
did they understand	هل فهمن؟
did you leave a tip	هل تركت إكرامية؟
did you play tennis	هل لعبت التنس؟
do you believe that	هل تصدّقين ذلك؟
do you drink coffee	هل تشرب القهوة عادةً؟
do you have a fever	هل لديك حمى؟
do you like running	هل تحب الجري؟
do you mind if i go	هل تمانع إذا ذهبت؟
do you speak french	هل تتحدث الفرنسية؟
do you travel a lot	هل تسافر كثيراً؟
do you want a drink	هل تريد أن تشرب؟
do you write poetry	هل تكتب الشعر؟
dont be ridiculous	لا تكن سخيفاً
dont cry in public	لا تَبكي في العَلن
dont disappoint me	لا تخيب ظني بك
dont fight with me	لا تقاتلني
dont open the door	لا تفتح الباب
dont stand near me	لا تقف قربي
dont you feel cold	ألا تشعر بالبرد؟
eat your vegetables	كُل خضراواتك
everybody likes her	الجميع يحبها
everybody loves her	الجميع يحبونها
everybody loves her	الكل يحبها
everything was lost	كل شيء فُقِد
excuse me im lost	لو سمحت، أضعت طريقي‏‏
fish is cheap today	السمك رخيص اليوم
forget your sorrows	انس ما يحزنك
give me my pen back	أعِد لي قَلمي
glass breaks easily	ينكسر الزجاج بسهوله
go brush your teeth	إذهب واغسل أسنانك
go brush your teeth	إذهبي واغسلي أسنانك
go home immediately	عد إلى المنزل في الحين
go home immediately	عد إلى البيت في الحين
have a seat please	تفضل بالجلوس من فضلك
he became a pianist	أصبح عازف بيانو
he didnt know that	إنه لم يعلم بذلك 
he drives very fast	إنه يقود بسرعة عالية
he is a naughty boy	هو ولد مشاغب
he is angry with me	إنهُ غاضب معي
he is at his office	إنه في مكتبه
he is not available	ليس موجوداً
he is not available	ليس متاحاً
he is playing music	يعزف موسيقى
he is very handsome	إنه وسيم
he is very handsome	إنه وسيم جدا
he is very talented	هو موهوب جدا
he lives in morocco	يعيش في المغرب
he looks suspicious	يبدو مريباً
he looks suspicious	يبدو كأنه شخص مثير للشك
he must be homesick	لا بد أنه مشتاق إلى بيته
he needs that money	هو بحاجة لذلك المال
he treated me badly	إنهُ عاملني بسوء
he was very patient	كان صبوراً جداً
he went to the shop	ذهب إلى الدكان
he went to the shop	ذهب إلى المحل التجاري
he went to the shop	ذهب إلى المتجر
he went up mt fuji	لقد صعد جبل فوجي
he works in the lab	إنه يعمل في المختبر
he wrote one letter	كتب رسالة واحدة
he wrote the report	كتب التقرير
he yelled with pain	صرخ ألماً
hes behaving oddly	إنه يتصرف بغرابة
hes in a bad state	هو في حالةٍ سيئة
hes taller than me	هو أطول مني
her face turned red	إحمرّ وجهها
here is your change	هذا هو الباقي
heres what i think	هذا ما ظننته
hey listen to this	استمع لهذا
his bicycle is blue	دراجته زرقاء
how ive missed you	لكم اشتقت إليك
how ive missed you	افتقدتك كثيراً
how can i get there	كيف بإمكاني الوصول إلى هناك؟
how do you feel now	كيف تشعر الآن؟
how do you feel now	كيف حالك الآن؟
how do you know tom	كيف تعرفت على توم؟
how strange life is	ما أغرب الحياة
how strange life is	كم غريبة الحياة
i am a teacher too	أنا مدرس أيضاً
i am going to study	أنا ذاهب لأدرس
i am in a new house	أنا في بيت جديد
i am not from india	لست من الهند
i am very sad today	أنا حزينة جدا اليوم
i can come tomorrow	بإمكاني القدوم غداً
i can do it for you	يمكنني ان افعلها من اجلك
i can peel an apple	يمكنني أن أقشر تفاحة
i can peel an apple	أستطيع تقشير تفاحة
i can speak english	أستطيع تحدث الإنجليزية
i cant find my pen	لا يمكنني إيجاد قلمي
i continued working	تابعت العمل
i didnt forget you	لم أنسك
i disagree with you	أنا اختلف معك في الرأي
i disagree with you	لا أوافقك الرأي
i disagree with you	أختلف معك
i do not understand	لا أفهم
i do not understand	أنا لم أفهم
i dont like coffee	لا أحب القهوة
i dont like movies	لا أحب مشاهدة الأفلام
i dont like school	لا أحب المدرسة
i dont really know	حقيقةً لا أعلم
i dont really know	في الحقيقة لا أدري
i eat a lot of rice	أكل الكثير من الأرز
i forgot to ask him	نسيت أن أسأله
i hate my neighbors	أنا أكره جيراني
i hate this weather	كم أكره هذا الطقس
i have a big family	لدي عائلة كبيرة
i have a dictionary	لدي قاموس
i have a runny nose	أنفي يسيل
i have been to rome	لقد زرت روما
i have many friends	لدي الكثير من الأصدقاء
i have to go to bed	عليّ الذهاب إلى النوم
i have to go to bed	عليّ أن أخلد إلى النوم
i heard you arguing	سمعتكما تتخاصمان
i know you are rich	أنا أعلم أنك غني
i like both of them	انا احب كلا منهما
i like each of them	انا احب كلا منهما
i like love stories	أحب قصص الغرام
i liked my teachers	كنت أحبّ مدرّسّيّ
i love this picture	أحب هذه الصورة
i make a day	أجني مئة يورو في اليوم
i make a day	أَجْنِيْ مِئْةَ يُوْرَو فِيْ اليَوْم
i managed to get in	استطعت الدخول
i met him yesterday	قابلته البارحة
i need medical help	أحتاج مساعدة طبية
i never played golf	لم ألعب الجولف بتاتا
i often catch colds	كثيراً ما أصاب بالزكام
i quickly ate lunch	أكلت طعام الغداء بسرعة
i retired last year	تقاعدت السنة الماضية
i retired last year	خرجت على المعاش السنة الفائتة
i see what you mean	أفهم قصدك
i sent you an email	لقد أرسلتُ إليكَ بريداً إلكترونياً
i talked to friends	تحدثتُ إلى الأصدقاء
i think im in love	أظن أنني وقعت في الحب
i think tom is kind	أظن أن توم لطيف
i think he is angry	أنا أعتقد انهُ غاضب
i think they saw me	أظن أنهم قد رأوني
i tried to tell tom	حاولت إخبار توم
i want a cup of tea	أريد فنجاناً من الشاي
i want to come too	أريد أن آتي أيضاً
i want to learn how	أريد أن أتعلم كيف
i want to live here	أريد العيش هنا
i want to look rich	أريد أن أبدو غنياً
i want to marry you	أُريد أن أتزوجكِ
i want your opinion	أريد أن أعرف رأيك
i want your opinion	أريد رأيك
i was eighteen then	كان عمري ثماني عشرة سنة حينها
i was happy for him	كنت سعيدة من أجله
i will be back soon	سأعود قريباً
i will be back soon	سَوْفَ أَعُوْدُ قَرِيْبًا
i will be back soon	سأعود بعد قليل
i will stay at home	سوف أبقى في المنزل
i wont do it again	لن أفعلها ثانيةً
id like to see her	أود أن أراها
ill call you later	سأتصل بك لاحقاً
ill drive you home	سأوصلك إلى المنزل بالسيارة
ill drive you home	سأوصلك إلى البيت
ill go if tom goes	سأذهب إن ذهب توم
ill join you later	سأنضم إليك لاحقاً
ill join you later	سأوافيك لاحقاً
ill lend it to you	سأعيرك إياها
ill make you happy	سأجعلك سعيدًا
ill make you happy	سأجعلك سعيدةً
ill make you happy	سأجعلك سعيدةسأسعدك
ill return at	سأعود في السادسة و النصف
ill think about it	سأفكّر في الأمر
im counting on you	أعتمد عليك
im crazy about you	أحبك بجنون
im fine thank you	أنا بخير شكرا لك
im getting married	سأتزوج
im getting married	سأتزوج
im happy with that	أنا سعيد بذلك
im no good for you	أنا لست من تبحثين عنه
im not the problem	أنا لست المشكلة
im only a customer	لست إلا زبون
im proud of myself	أنا فخورٌ بنفسي
im so proud of you	أنا فخور جداً بكَ
im so proud of you	أنا فخورة جداً بكِ
im still not ready	لست جاهزاً بعد
im trying to sleep	أحاول النوم
im trying to sleep	أنا أحاول أن أنام
im very hungry now	أنا جائع للغاية الآن
im very hungry now	إنني في غاية الجوع الآن
im wasting my time	أنا أضيع وقتي
ive got a headache	لدي صداع في رأسي
ive got a new bike	اِشتريت دراجة جديدة
ive lost my ticket	فقدت تذكرتي
ive lost my wallet	فقدت محفظتي
ive lost my wallet	أضعت محفظة نقودي
ive met tom before	التقيت بتوم قبل الآن
is it far from here	هل هي بعيدة عن هنا؟
is it still raining	أما زالت تمطر؟
is that a yes or no	هل ذلك نعم أم لا؟
is that your sister	هل هذه أختك؟
is there any danger	أهناك أي خطر؟
is this radio yours	هل هذا الراديو لك؟
is this your family	هل هذه عائلتك؟
it is too expensive	إنها غالية جداً
it may rain tonight	ربما ستمطر الليلة
it was really cheap	كان رخيصاً جداً
it was really cheap	كانت رخيصة الثمن جداً
it was such a shock	يا لها من صدمة
it was such a shock	كانت صدمة قوية
it wasnt like that	لم يكن كذلك
its as cold as ice	بارد كالثلج
its as cold as ice	إنها باردة كالثلج
its as easy as pie	إنه سهل جدا
its time to get up	حان وقت النهوض
keep your eyes open	أبقِ عينيك مفتوحتين
keep your home warm	حافظ على دفئ منزلك
lets hope it works	دعنا نأمل أنها تعمل
lets try something	لنجرب فعل شيءٍ ما
lets watch a movie	دعونا نرى الفيلم
look at the picture	انظر إلى الصورة
look straight ahead	انظر امامك مباشره
love your neighbors	أحِبَّ جيرانك
mary can dance well	تستطيع ماري الرقص جيدا
may i ask your name	هل أستطيع أن أسألك عن اسمك؟
may i eat this cake	هل لي أن آكل هذه الكعكة؟
may i say something	أيمكنني أن أقول شيئاً؟
maybe tom likes you	ربما توم يحبك
muslims pray to god	المسلمون يصلّون لله
muslims worship god	المسلمون يعبدون الله
my cat loves catnip	قِطي يحب نبتة القطرم
my friend helped me	صديقي ساعدني
my knee is bleeding	ركبتي تنزف
my room key please	أعطني مفتاح غرفتي من فضلك
my teacher hates me	مدرّسي يكرهنا
my teacher hates me	يكرهني مدرّسي
my wife is a doctor	زوجتي طبيبة
no one ate the cake	لم يأكل أحد الكعكة
nobody cares for me	لا أحد يهتم لأمري
oil floats on water	يطفو الزيت فوق الماء
old habits die hard	الطَبعْ يغلبُ التطبّع
ostriches cant fly	لا يمكن للنعام أن يطير
ostriches cant fly	النعام لا يمكنه الطيران
people love freedom	الناس يحبون الحرية
perhaps thats true	لعل ذلك صحيح
perhaps thats true	ربما يكون ذلك صحيحا
please do something	إفعل شيئاً رجاءً
please help me cook	ساعدني في الطبخ
please make the bed	من فضلك رتب السرير
rome is an old city	روما مدينة قديمة
see you after class	أراك بعد الدّرس
she became a doctor	أصبحت طبيبة
she can drive a car	يمكنها أن تقود السيارة
she didnt like him	لم تكن تحبه
she has a few books	لديها القليل من الكتب
she has pretty eyes	عيونها جميلة
she kept on working	استمرت في العمل
she kept on working	بقيت تعمل
she kissed my cheek	قبلت خدي
she knows the truth	هي تَعرِفُ الحقيقة
she likes ice cream	إنها تحب المثلجات 
shes not my sister	هىَ ليست أختي
shes very innocent	تبدو طيبة جدا
shes very innocent	تبدو شديدة البراءة
stand where you are	قف مكانك
stop aggravating me	كف عن إثارة غضبي
stop feeling guilty	كفّ عن تأنيب ضميرك
stop or ill shoot	توقف و إلا أطلقت النار
take a look at that	انظر إلى ذلك
take off your shoes	اخلع نعلَيْك
take off your shoes	اخلع حذاءك
take off your socks	انزع جوربيك
take off your socks	انزعي جوربيكِ
that boy is running	ذلك الولد يركض
that isnt your job	هذا ليس عملك
that was my mistake	إنها غلطتي
that was my mistake	إنه خطأي
that was the intent	تلك كانت نيتي
that wont help you	لن يساعدك ذلك
thats a great idea	إنها فكرة جيدة
thats a great poem	هذه قصيدة رائعة
thats an imitation	إن ذلك تقليد
thats an old trick	هذه خدعة قديمة
thats common sense	ذاك من البديهيات
thats good to know	من الجيد معرفة ذلك
thats not your job	هذا ليس عملك
thats really great	ذلك رائع حقاً
thats very serious	هذا جدي للغاية
thats your funeral	هذه جنازتك
the answer is right	الجواب صحيح
the boat is on fire	السّفينة تحترق
the boys kept quiet	بقي الأولاد هادئين
the computer is new	الحاسوب جديد
the house collapsed	انهار المنزل
the kids are asleep	الأولاد نائمون
the lake was frozen	تجمدت البحيرة
the letter returned	عادت الرّسالة
the list is endless	القائمة لانهائيّة
the meat tastes bad	طعم اللحم سيء
the roof is on fire	السقف يحترق
the skies are clear	السماء صافية
the trees are green	الأشجار خضراء
there comes the bus	ها قد أتى الباص
theres a book here	هناك كتاب هنا
theres no one home	لا يوجد أحد في البيت
these are our books	هذه كتبنا
these are our desks	هذه مكاتبنا
these books are new	هذه الكتب جديدة
these books are new	هذه الكتب جديدة
they are my sisters	هنّ أخواتي
they arent farmers	ليسوا مزارعين
they arent like us	إنهم ليسو مثلنا
they asked for help	لقد طلبوا المساعدة
they didnt do much	لم يقومو بالكثير
they didnt fool us	لم يخدعونا
they didnt give up	لم يستسلموا
they didnt know me	لم يعرفوني
they didnt succeed	لم ينجحوا
they dont eat meat	لا يأكلون اللحم
they need more time	يحتاجون لمزيد من الوقت
theyre ignoring me	إنهم يتجاهلونني
this is my notebook	هذا دفتري
this play has ended	إنتهت المسرحية
this will take time	سيأخذ هذا وقتا
those are our books	تلك كتبنا
time is running out	الوقت ينفذ
time is running out	الوقت يمضي
time seemed to stop	بدى الأمر وكأن الزمن توقف
tom doesnt know me	توم لا يعرفني
tom doesnt like me	توم لا يحبني
tom got soaking wet	ابتل توم بشدة
tom has passed away	توفي توم
tom is calling mary	توم يُنادي ماري
tom is getting away	توم يهرب
tom is in the house	توم في البيت
tom is in the house	توم موجود في المنزل
tom is losing blood	توم ينزف
tom is losing blood	توم يفقد كثيرا من الدم
tom is now deceased	سامر متوفي
tom is very special	توم مميز جدا
tom is your brother	توم هو أخوك
tom isnt ready yet	توم ليس مستعداً بعد
tom likes brunettes	توم تعجبه السمراوات
tom likes hot curry	توم يحب الكاري الحار
tom likes to travel	يحب توم السفر
tom likes traveling	يحب توم السفر
tom loves going out	توم يحب الخروج
tom loves to travel	يحب توم السفر
tom loves traveling	يحب توم السفر
tom showed it to me	توم أراني اياه
tom studied geology	درس توم الجيولوجيا
tom swims very fast	توم يسبح بسرعة كبيرة
tom swims very fast	سباحة توم سريعة جداً
tom wiped the table	مسح توم الطاولة
turn down the radio	أخفض صوت المذياع
was i really boring	هل كنت مملاً بالفعل؟
we can hide in here	يمكننا الاختباء هنا
we grew up together	نشأنا سويّا
we miss you so much	افتقدناك كثيرا
we need a new truck	نحتاج شاحنة جديدة
we want to know why	نريد معرفة السبب
we want to know why	نريد أن نعرف لماذا
we werent fighting	لم نكن نتشاجر
we werent fighting	لم نكن نتقاتل
were eating apples	إننا نأكل التفاح
were eating apples	نحن نأكل التفاح
weve prepared well	نحن مستعدون بشكل جيد
well see you later	أراك لاحقاً
what are you baking	ماذا تخبز؟
what did you answer	بماذا أجبت؟
what did you answer	ماذا أجبته؟
what did you forget	ماذا نسيت؟
what do you suggest	ماذا تقترح؟
what have you eaten	ماذا أكلت؟
what should i bring	ماذا عليّ أن أحضر؟
what time is it now	ما الساعة الآن؟
what was that noise	ما تلك الضجة؟
what were you doing	ماذا كنت تفعل؟
what were you doing	ما الذي كنت تفعله؟
when did you arrive	متى وصلت؟
when did you get up	متى استيقظت؟
when is school over	متى ينتهي الدوام المدرسيّ؟
when will you leave	متى ستغادر؟
where are the girls	أين الفتيات؟
where are those two	أين هما؟
where are you going	إلى أين أنت ذاهب؟
where are you going	إلى أين ستذهب؟
where are you going	أين تذهب؟
where are your keys	أين هي مفاتيحك؟
where does tom live	أين يسكن توم؟
where does she work	أين تعمل؟
where have you been	أين كنت؟
where is his family	أين عائلته؟
where is the school	أين المدرسة؟
where is the school	أين مدرسته؟
where is your house	أين بيتك؟
wheres your school	أين مدرستك؟
wheres your sister	أين أختك؟
who are those girls	من هذه الفتيات؟
who else helped you	من ساعدك أيضا؟
who is in the house	من في البيت؟
who is that old man	من هو هذا المُسن؟
who is your teacher	من مدرسك؟
who owns this house	من يملك هذا المنزل؟
who owns this house	من مالك هذا البيت؟
who owns this villa	من يملك هذه الفِلّا؟
who stole the apple	من سرق التفاحة؟
who wrote this book	من كتب هذا الكتاب؟
who wrote this poem	من كتب هذه القصيدة؟
whos idea was that	فكرة مَن كانت هذه؟
whose paper is this	ورقة مَن هذه؟
why did that happen	لم حدث ذلك؟
why did you do that	لماذا فعلت ذلك؟
why do you say that	لماذا تقول ذلك؟
why do you think so	لماذا تعتقد ذلك؟
why dont i do that	لماذا لا أفعل ذلك؟
why is tom not here	لماذا توم ليس هنا؟
you are a good cook	أنت طباخ جيد
you are always late	أنتَ متأخر دائماً
you broke the rules	أنتَ كسرتَ القواعد
you broke the rules	أنتِ كسرتِ القواعد
you can call me tom	أنتَ يمكنكَ أن تناديني توم
you can call me tom	أنتِ يمكنكِ أن تناديني توم
you can go home now	بإمكانك العودة إلى المنزل الآن
you can rely on her	بإمكانك أن تعتمد عليها
you can rely on him	يمكنك الإعتماد عليه
you cant swim here	لا يمكنك السباحة هنا
you could sell that	يُمكِنُكَ بَيعُ ذلِك
you disappointed me	خيبت أملي
you disappointed me	خنت ظني فيك
you disappointed me	خيبت أملي فيك
you have a big nose	أنتَ لديكَ أنف كبير
you have a big nose	أنتِ لديكِ أنف كبير
you have many books	لديك الكثير من الكتب
you have three pens	لديك ثلاثة أقلام
you know i love you	تعرف أنني أحبك
you look like a boy	أنتَ تبدو مثل الولد
you look like a boy	أنتِ تبدينَ مثل الولد
you look pale today	تبدو شاحباً اليوم
you look very tired	تبدو متعباً للغاية
you look very tired	يبدو عليك التعب
you look very tired	تبدو مجهداً
you may go anywhere	يمكنك الذهاب إلى أين تشاء
you may go anywhere	يمكنك أن تذهب إلى أي مكان تريد
you may go anywhere	بإمكانك الذهاب إلى أيما مكان شئت
you may go anywhere	يمكنك أن تذهب أينما شئت
you may not come in	لا تستطيع الدخول
you must be kidding	لا بد أنك تمزح
you must go at once	عليك أن تذهب حالاً
you must keep quiet	يجب ان تلتزم الصمت
you must study hard	عليك أن تدرس بجدّ
you must study hard	عليك أن تدرس جاهداً
you must study more	عليك أن تدرس أكثر
you ran a red light	لقد قطعت إشارة حمراء
you should exercise	يجب عليك ممارسة الرياضة
you should meet him	عليك أن تقابله
you ticked them off	لقد اغضبتهم انت 
youd better not go	من الأفضل لك ألا تذهب
youre looking down	أنت تبدو مكتئباً
youre running late	أنت متأخر
your friend is here	صديقك هنا
your friend is here	صديقتك هنا
your shoes are here	حذاءك هنا
add up these figures	اجمع هذه الأعداد
all the meat was bad	كل اللحم كان سيئا
all you need is love	كل ما تحتاجه هو الحب
almost everyone came	تقريبا الكل اتي
almost everyone came	تقريبا الكل جاء
are they still angry	أمازالوا غاضبين؟
are you able to swim	هل تستطيع السباحة؟
are you back already	أعدت بهذه السّرعة؟
are you back already	هل عدت مسبقا؟
are your hands clean	هل يداك نظيفتان؟
baby teeth are sharp	أسنان الطفل حادة
but youre not there	لكنك لست هناك
can i go out to play	هل يمكننى أن أخرج للعب؟
can you deal with it	أيمكنك تولّي أمره؟
can you really do it	أحقّا تستطيع فعلها؟
can you speak french	أتستطيع تحدث الفرنسية؟
can you speak french	أيمكنك أن تتكلم اللغة الفرنسية؟
cattle feed on grass	يتغذى القطيع على العشب
come home before six	اِرجع إلى البيت قبل السادسة
could we have a fork	ألنا بشوكة؟
could we have a fork	أيمكننا الحصول على شوكة؟
count to one hundred	عد الي عشرة
did something happen	هل حصل شيء ما؟
did you behave today	هل أحسنت التصرف اليوم؟
didnt i tell you so	ألم أقل لك؟
didnt i tell you so	ألم أقل لك ذلك؟
divorce is stressful	الطّلاق أمر مرهق
do we have the money	هل لدينا المال؟
do whatever it takes	افعل كل ما يحتاجه الأمر
do you have a violin	هل تملك كمانًا؟
do you know who i am	هل تعلم من أنا ؟
do you see tom often	هل ترى توم كثيرا؟
do you see him often	هل تراه دائمًا؟
do you speak chinese	هل تتحدث الصينية؟
do you study english	هل تدرس اللغة الإنكليزية؟
do you study english	أتدرس اللغة الإنجليزية؟
do you study english	أتدرس الإنجليزية؟
do you understand me	هل تفهمني؟
do you want anything	أتريد شيئاً؟
dont call him names	لا تَسُبّهُ
dont ever forget it	لا تنسه أبدا
dont leave me alone	لا تتركني وحيدا
dont talk like that	لا تقل ذلك
dont talk like that	لا تتكلم هكذا
dont worry about it	لا تقلق
dont worry about it	لا تقلق بشأن ذلك
dont worry about it	لا تقلق بشأن ذلك
dont worry about me	لا تقلق عليّ
dont worry about me	لا تقلق علي
dont worry about us	لا تقلق بشأننا
dont worry about us	لا تقلق حيالنا
dont you ever sweat	ألا تتعرق أبدا؟
draw a straight line	إرسم خط مستقيم
everybody knows that	الجميع يعرف ذلك
everyone worked hard	الكلّ عملَ بجدّ
finally its friday	و أخيراً أتى الجمعة
form a straight line	شكل خط مستقيم
go back to your seat	عُد إلى مقعدك
has anybody seen tom	هل شاهدتم توم؟
has anything changed	هل تغير أي شيء؟
have a drink with me	اشرب معي شيئا
have you finished it	هل أنهيتها؟
he asked me for help	طلب مني المساعدة
he began to feel ill	بدأ يشعر بالمرض
he devoured his meal	لقد التهمَ طعامه
he died one year ago	مات السنة الماضية
he has no girlfriend	ليس لديه صديقة
he has no girlfriend	ليس عنده حبيبة
he is a fast speaker	يتكلم بسرعة
he is a fast speaker	إنه سريع الكلام
he is a fast speaker	يتحدث بسرعة
he is an ace pitcher	هو رامي اساسي في رياضة البيسبول
he is angry with you	إنهُ غاضب معكَ
he is angry with you	إنهُ غاضب معكِ
he is getting better	بدأ يتحسن
he isnt here is he	إنه ليس هنا ، أليس كذلك؟
he lent me two books	أعارني كتابَيْن
he likes to watch tv	يحب مشاهدة التلفاز
he likes watching tv	إنه يحب مشاهدة التلفاز
he lived a long life	عاش حياة مديدة
he lived a long life	عاش حياة طويلة
he lost his eyesight	فقد بصره
he ordered us steaks	لقد طلب لنا شرائح اللحم
he reads a good deal	هو قارئ نهم
he screamed for help	صرخ طالباً النجدة
he taught me history	درّسني التاريخ
he thinks i love her	هو يعتقد أنني أحبها
he wanted to be rich	هو اراد ان يكون غنيا
he wanted to succeed	أراد أن ينجح
he went to the store	ذهب إلى الدكان
he went to the store	ذهب إلى المتجر
he went to the store	ذهب إلى المحل
he will not be ready	هو لن يكونَ مُسْتَعدّاً
hes a tennis player	إنه لاعب تنس
hes crazy about you	إنه مولع بك
hes crazy about you	إنه مجنون بحبك
hes eating an apple	إنه يأكل تفاحة
here comes the train	ها قد وصل القطار
heres a yellow rose	هذه وردة صفراء
heres how to use it	هاك طريقة استخدامها
hey you please wait	أنت هناك انتظر من فضلك
hey get off my bike	أنتَ، انزل عن درّاجتي
hey get off my bike	أنتِ، انزلي عن درّاجتي
hi do you work here	أهلاً ، هل تعمل هنا؟
his memory amazes me	ذاكرتهُ تُدهِشُني
how can you say that	كيف لك أن تقول ذلك؟
how do you know that	من أينَ تعرف هذا؟
how do you know that	أنتَ من أينَ تعلم هذا؟
how do you know that	أنتَ كيف تعرف هذا؟
how do you know that	كيف تعرفين هذا؟
how do you know that	كيفَ تعلمين هذا؟
how do you know that	كيف تعلم ذلك؟
how much did you win	كم رَبِحتَ؟
how was school today	كيفَ كانت المدرسة اليوم؟
hows the water here	كيف الماء هنا؟
i admire his courage	أقدّر شجاعته
i am eating an apple	آكُل تفاحة
i am terribly hungry	أنا جائع جداً
i baked an apple pie	خبزت فطيرة تفاح
i bought her a clock	اشتريت لها ساعة
i bought her a clock	ابتعتُ لها ساعة
i bought her a watch	اشتريت لها ساعة
i bought him a clock	ابتعتُ لهُ ساعة
i cant see anything	لا أرى شيئاً
i cant see anything	لا أستطيع رؤية شيء
i dont have a daddy	ليس لديّ أب
i dont mind staying	لا أمانع في البقاء
i dont mind staying	لا مانع عندي من البقاء
i dont use facebook	أنا لا أستخدم الفيسبوك
i dont want to work	لا أريد أن أعمل
i dont want to work	لا أريد العمل
i had better ask her	من الأفضل أن أسئلها
i had great teachers	كان لديّ مدرّسون جيّدون
i had no time to eat	لم يكن لديّ وقت للأكل
i have a new red car	لدي سيارة حمراء جديدة
i have a stomachache	لدي مغص
i have read the book	لقد قرأت الكتاب
i have three cameras	لدي ثلاث كاميرات
i have two daughters	لي بنتان
i just finished work	لقد أنهيت العمل للتو
i know how tom feels	اعرف كيف يشعر توم
i know where you are	أنا أعلم أين أنت
i know youre afraid	أعلم بأنك خائف
i like him very much	أحبه كثيراً
i like reading books	أحب قراءة الكتب
i like you very much	أنا معجب بك كثيرًا
i live in this hotel	أسكن في هذا الفندق
i looked for the key	أنا بحثت عن المفتاح
i lost consciousness	فقدت الوعي
i love french movies	أحب الأفلام الفرنسية
i love reading books	أحب قراءة الكتب
i love reading books	أحب قراءة الكتب
i love to read books	أحب أن أقرأ الكتب
i met mary yesterday	التقيت بماري البارحة
i miss you very much	أشتاق إليك كثيراً
i miss you very much	أنا مشتاق إليك جداً
i need a few minutes	أحتاج بضع دقائق
i need a new sweater	أحتاج سترة جديدة
i need that medicine	أحتاج هذا العلاج
i no longer love him	لم أعد أحبه
i owe tom an apology	أنا مَدين لتوم بإعتذار
i said that ages ago	قلت ذلك منذ وقت طويل
i solved the problem	حُلت المشكلة
i sometimes watch tv	أشاهد التلفاز في بعض الأحيان
i tell you the truth	أخبرك الحقيقة
i think i understand	أظنني أنني فهمت
i think tom is right	أظن أن توم على حق
i think tom likes me	أظن بأن توم يحبني
i think tom likes me	أظن بأن توم معجب بي
i think youre right	أعتقد أنك صائب
i think youre right	أعتقد أنك مصيب
i think youre right	أعتقد أن ما تقوله صحيح
i think youre right	أظن أنك محق
i wake up very early	أنا أستيقظ مبكراً جداً
i want an player	أريد مشغل MP3
i want to forget her	أريد أن أنساها
i want you to try it	أريدك أن تجرّبَهُ
i want you to try it	أريدُك أن تجرّب ذلِكَ
i wanted to go there	أردت الذهاب إلى هناك
i was a teacher too	أنا أيضا كنت مدرّسا
i was busy yesterday	كنت مشغولاً البارحة
i was in big trouble	لقد وقعت في ورطة كبيرة
i will accompany you	سأقوم بمرافقتك
i will come with you	سأذهب معك
ill admit im wrong	أعترف أني مخطئ
ill admit im wrong	سأعترف بأني مخطئ
ill be here all day	سأكون هنا طوال اليوم
ill be watching you	سأراقبك
ill give you a call	سأتصل بك
ill help you buddy	سأساعدك يا صاح
ill miss all of you	سأفتقدكم جميعا
ill need some tools	سأحتاج بعض الأدوات
im an eighth grader	أنا في الصف الثامن
im an honest person	أنا صادق
im an honest person	أنا شخص صادق
im depending on you	إني أعتمد عليك
im happy about that	أنا سعيد بذلك
im happy to see you	سعيد برؤيتك
im in a hurry today	أنا في عجلة من أمري
im in love with you	أنا واقع في حبك
im looking for work	أبحث عن عمل
im not feeling well	أشعر بوعكة
im not tired at all	أنا لست متعباً على الإطلاق
im on a hockey team	أنا لاعب في فريق هوكي
im studying english	أدرس اللغة الإنجليزية
im walking with her	إني أتمشى معها
im writing a letter	أكتب رسالة
ive been very happy	كنت سعيدا جدا
ive got a pacemaker	أستعمل منظمًا لضربات القلب
ive seen him before	لقد رأيتهُ من قبل
ive won first prize	ربحت الجائزة الكبرى
is tom looking at me	هل يحدّق توم فيَّ؟
is that a fire truck	هل تلك شاحنة إطفاء؟
is there an elevator	هل هناك مصعد؟
is there an elevator	هل يوجد مصعد؟
is this your bicycle	أهذه دراجتك؟
is this your bicycle	هل تلك دراجتك؟
it makes me so happy	يجعلني سعيدة جدا
it may rain tomorrow	ربما ستمطر غداً
it seems right to me	تبدو صحيحة بالنسبة لي
it will rain tonight	ستمطر الليلة
its a good question	سؤال جيد
its a piece of cake	إنه أمر سهل
its good seeing you	من الجيد رؤيتك
its over between us	لقد انتهي الأمر بيننا
just put it anywhere	فقط ضعه في أي مكان
just wait right here	فقط انتظر هنا
leave the rest to me	اترك الباقي لي
lets face the facts	لنواجه الحقائق
lets finish the job	دعنا ننهي الوظيفة
lets get some sleep	دعنا نأخذ قسطاً من الراحة
lets get some sleep	دعينا نأخذ قسطاً من الراحة
lets get some sleep	دعونا نأخذ قسطاً من الراحة
lets not discuss it	لنتوقف عن النقاش في ذلك
lets play something	هيا لنلعب
lets sing and dance	لنغني و نرقص
lincoln died in	مات لنكولن في عام ١٨٦٥ للميلاد
look at the boy jump	أنظر إلى الولد و هو يقفز
look at those clouds	اُنظر إلى تلك الغيوم
love is all you need	الحب هو كل ما تحتاجه 
many trees fell down	سقطت الكثير من الأشجار
mary is toms sister	ماري هي أخت توم
mary plays the piano	ماري تعزف البيانو
may i hold your hand	هل تسمحين لي أن أمسك يدك؟
